country,university,link,abbre
AZ,Nakhchivan Private University,http://www.az-npu.org/,az-npu
AZ,Nakhchivan State University,http://www.ndu.edu.az/,ndu
AZ,National Aviation Academy,http://www.naa.edu.az/,naa
AZ,Odlar Yurdu University,http://www.oyu.edu.az/,oyu
AZ,Police Academy,http://www.pa.edu.az/,pa
AZ,Qafqaz University,http://www.qafqaz.edu.az/,qafqaz
AZ,Sumgait State University,http://www.sdu.edu.az/,sdu
AZ,Western University,http://www.wu.edu.az/,wu
BA,American University,http://www.aubih.ba/,aubih
BA,International Burch University,http://www.ibu.edu.ba/,ibu
BA,International University of Sarajevo,http://www.ius.edu.ba/,ius
BA,International University of Travnik,http://www.iu-travnik.com/,iu-travnik
BA,Sarajevo Film Academy,http://www.sfa.ba/,sfa
BA,Slobomir P Univerzitet,http://www.spu.ba/,spu
BA,University of Banja Luka,http://www.unibl.org/,unibl
BA,University of Bihac,http://www.unbi.ba/,unbi
BA,University of East Srarajevo,http://www.unssa.rs.ba/,unssa
BA,University of Mostar,http://www.sve-mo.ba/,sve-mo
BA,University of Sarajevo,http://www.unsa.ba/,unsa
BA,University of Tuzla,http://www.untz.ba/,untz
BA,University of Zenica,http://www.unze.ba/,unze
BA,University Vitez In Travnik,http://www.unvi.edu.ba/,unvi
BA,"Univerzitet u Mostaru ""Dzemal Bijedic""",http://www.unmo.ba/,unmo
BB,"University of the West Indies, Cave Hill",http://www.uwichill.edu.bb/,uwichill
BD,Ahsanullah University of Science & Technology,http://www.aust.edu/,aust
BD,American International University - Bangladesh,http://www.aiub.edu/,aiub
BD,Asa University Bangladesh,http://www.asaub.edu.bd/,asaub
BD,Asian University of Bangladesh,http://www.aub-bd.org/,aub-bd
BD,Atish Dipankar University,http://www.atishdipankaruniversity.edu.bd/,atishdipankaruniversity
BD,Bangabandhu Sheikh Mujibur Rahman Agricultural University,http://www.bsmrau.edu.bd/,bsmrau
BD,Bangabandhu Sheikh Mujibur Rahman Medical University,http://www.bsmmu.edu.bd/,bsmmu
BD,Bangladesh Agricultural University,http://www.bau.edu.bd/,bau
BD,Bangladesh Open University,http://www.bou.edu.bd/,bou
BD,Bangladesh University,http://www.bu.edu.bd/,bu
BD,Bangladesh University of Business & Technology,http://www.bubt.edu.bd/,bubt
BD,Bangladesh University of Engineering and Technology,http://www.buet.ac.bd/,buet
BD,Bangladesh University of Professionals,http://www.bup.edu.bd/,bup
BD,Bangladesh University of Textiles,http://www.butex.edu.bd/,butex
BD,"Begum Rokeya University, Rangpur",http://www.brur.ac.bd/,brur
BD,"BGC Trust University, Bangladesh",http://www.bgctrustbd.org/btub/,bgctrustbd
BD,Brac University,http://www.bracuniversity.net/,bracuniversity
BD,Chittagong Independent University,http://www.ciu.edu.bd/,ciu
BD,Chittagong University of Engineering and Technology,http://www.cuet.ac.bd/,cuet
BD,City University,http://www.cityuniversity.edu.bd/,cityuniversity
BD,Comilla University,http://www.cou.ac.bd/,cou
BD,Daffodil International University,http://www.daffodilvarsity.edu.bd/,daffodilvarsity
BD,Darul Ihsan University,http://www.diu.ac.bd/,diu
BD,Dhaka International University,http://www.diu.net.bd/,diu
BD,Dhaka University of Engineering and Technology,http://www.duet.ac.bd/,duet
BD,East Delta University,http://www.eastdelta.edu.bd/,eastdelta
BD,Eastern University,http://www.easternuni.edu.bd/,easternuni
BD,East West University,http://www.ewubd.edu/,ewubd
BD,"East-West University, Mohakhali",http://www.ewubd.edu/,ewubd
BD,Green University of Bangladesh,http://www.green.edu.bd/,green
BD,Hajee Mohammad Danesh Science and Technology University,http://www.hstu.ac.bd/,hstu
BD,IBAIS University,http://www.ibaisuniv.edu.bd/,ibaisuniv
BD,"Independent University, Bangladesh",http://www.iub.edu.bd/,iub
BD,International Culture University ,http://www.icu-edu.org/,icu-edu
BD,International Islamic University Chittagong,http://www.iiuc.ac.bd/,iiuc
BD,International University of Business Agriculture and Technology,http://www.iubat.edu/,iubat
BD,Islamic University Kushtia,http://www.iu.ac.bd/,iu
BD,Islamic University of Technology,http://www.iutoic-dhaka.edu/,iutoic-dhaka
BD,Jagannath University,http://www.jnu.ac.bd/,jnu
BD,Jahangirnagar University,http://www.juniv.edu/,juniv
BD,Jatiya Kabi Kazi Nazrul Islam University,http://www.jkkniu.edu.bd/,jkkniu
BD,Khulna University,http://www.ku.ac.bd/,ku
BD,Khulna University of Engineering And Technology,http://www.kuet.ac.bd/,kuet
BD,Leading University,http://www.lus.ac.bd/,lus
BD,Manarat International University,http://www.manarat.ac.bd/,manarat
BD,Mawlana Bhashani Science And Technology University,http://www.mbstu.ac.bd/,mbstu
BD,Metropolitan University,http://www.metrouni.edu.bd/,metrouni
BD,Military Institute of Science and Technology,http://www.mist.ac.bd/,mist
BD,National University,http://www.nu.edu.bd/,nu
BD,Noakhali University of Science and Technology,http://www.nstu.edu.bd/,nstu
BD,North East University Bangladesh,http://www.neub.edu.bd/,neub
BD,Northern University Bangladesh,http://www.nub.ac.bd/,nub
BD,North South University,http://www.northsouth.edu/,northsouth
BD,Pabna University of Science and Technology,http://www.pust.ac.bd/,pust
BD,Patuakhali Science and Technology University,http://www.pstu.ac.bd/,pstu
BD,People's University of Bangladesh,http://www.pub.ac.bd/,pub
BD,Premier University,http://www.puc.ac.bd/,puc
BD,Presidency University,http://www.presidency.edu.bd/,presidency
BD,Queens University,http://www.queensuniversity.edu.bd/,queensuniversity
BD,Rajshahi University of Engineering and Technology,http://www.ruet.ac.bd/,ruet
BD,Shahjalal University of Science and Technology,http://www.sust.edu/,sust
BD,Southeast University,http://www.seu.ac.bd/,seu
BD,Southern University Bangladesh,http://www.southern.edu.bd/,southern
BD,Stamford University,http://www.stamforduniversity.edu.bd/,stamforduniversity
BD,Sylhet Agricultural University,http://www.sau.ac.bd/,sau
BD,Sylhet Engineering College,http://www.sec.ac.bd/,sec
BD,Sylhet International University,http://www.siu.edu.bd/,siu
BD,United International University,http://www.uiu.ac.bd/,uiu
